kreiskey1849,county,rb,rel1849_pro_religious_teach,edu1849_pub_ele_tea_m,edu1849_pub_ele_tea_help,edu1849_pub_ele_tea_f,edu1849_pub_mim_tea_m,edu1849_pub_mim_tea_help,edu1849_pub_mif_tea_m,edu1849_pub_mif_tea_f,edu1849_pub_mif_tea_help_m,edu1849_pub_mif_tea_help_f,edu1849_pub_high_tea_m,edu1849_pub_high_tea_help,edu1849_pub_pgy_tea_m,edu1849_pub_pgy_tea_help,edu1849_pub_gym_tea_m,edu1849_pub_gym_tea_help
1,"Memel","KON",0,71,0,13,2,0,2,2,1,1,7,1,0,0,0,0
2,"Fischhausen","KON",0,81,0,3,2,0,3,2,0,1,5,1,0,0,0,0
3,"Königsberg Stadt","KON",0,49,48,7,9,4,6,5,8,6,16,10,2,12,28,16
4,"Königsberg Land","KON",0,102,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Labiau","KON",0,80,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6,"Welau","KON",0,82,6,0,0,0,1,0,1,2,7,0,0,0,0,0
7,"Gerdauen","KON",0,69,1,0,3,0,1,0,0,0,0,0,0,0,0,0
8,"Rastenburg","KON",0,87,10,0,8,0,0,1,0,0,0,0,0,0,7,4
9,"Friedland","KON",0,72,1,0,10,0,4,1,0,0,0,0,0,0,0,0
10,"Preuss. Eilau","KON",0,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Heiligenbeil","KON",0,79,0,0,3,0,2,0,0,0,0,0,0,0,0,0
12,"Braunsberg","KON",0,77,3,12,0,0,0,0,0,0,0,0,0,0,8,4
13,"Heilsberg","KON",0,102,0,5,0,0,0,0,0,0,0,0,0,0,0,0
14,"Rössel","KON",0,77,6,3,0,0,0,0,0,0,0,0,3,3,0,0
15,"Allenstein","KON",0,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Ortelsburg","KON",1,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"Neidenburg","KON",0,102,2,0,2,0,1,0,0,0,0,0,0,0,0,0
18,"Osterode","KON",0,103,0,0,0,0,0,0,0,0,0,0,7,2,0,0
19,"Morungen","KON",0,100,5,0,4,0,0,2,0,1,0,0,0,0,0,0
20,"Pr. Holland","KON",0,107,6,2,2,0,0,0,0,0,0,0,0,0,0,0
21,"Heidekrug","GUM",2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Niederung","GUM",4,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Tilsit","GUM",7,61,13,3,2,0,1,1,0,0,8,0,0,0,9,3
24,"Ragnit","GUM",5,73,2,0,3,0,2,0,0,0,0,0,0,0,0,0
25,"Pillkallen","GUM",4,68,0,0,4,0,3,0,0,0,0,0,0,0,0,0
26,"Stallupönen","GUM",4,73,0,0,3,0,3,0,0,0,0,0,0,0,0,0
27,"Gumbinnen","GUM",4,76,3,0,4,0,2,1,0,0,0,0,0,0,10,0
28,"Insterburg","GUM",5,91,1,0,0,0,3,3,0,0,7,2,0,0,0,0
29,"Darkehmen","GUM",3,58,1,0,3,0,2,0,0,0,0,0,0,0,0,0
30,"Angerburg","GUM",2,75,2,0,2,0,2,0,0,0,0,0,0,0,0,0
31,"Goldapp","GUM",4,78,1,1,4,0,3,1,0,0,0,0,0,0,0,0
32,"Oletzko","GUM",4,78,1,0,3,0,3,0,0,0,0,0,0,0,0,0
33,"Lyck","GUM",4,91,2,0,2,0,1,1,0,0,0,0,0,0,9,2
34,"Lötzen","GUM",3,69,0,0,5,0,4,0,0,0,0,0,0,0,0,0
35,"Sensburg","GUM",2,87,0,0,5,0,4,0,0,0,0,0,0,0,0,0
36,"Johannisburg","GUM",5,78,12,0,6,0,4,0,0,0,0,0,0,0,0,0
37,"Elbing","DAN",0,84,1,13,3,0,3,1,0,0,11,2,0,0,9,2
38,"Marienburg","DAN",4,124,7,2,0,0,6,1,1,0,6,1,0,0,0,0
39,"Danzig Stadt","DAN",0,56,19,43,5,0,2,1,2,10,27,11,0,0,9,6
40,"Danzig Land","DAN",0,110,0,11,4,2,0,0,0,0,0,0,0,0,0,0
41,"Stargard","DAN",0,106,0,1,5,0,3,1,0,0,0,0,0,0,0,0
42,"Behrend","DAN",0,71,0,3,0,0,0,1,1,0,0,0,0,0,0,0
43,"Karthaus","DAN",0,53,0,5,0,0,0,0,0,0,0,0,0,0,0,0
44,"Neustadt","DAN",0,91,0,2,2,1,0,0,0,0,0,0,0,0,0,0
45,"Stuhm","MAR",0,69,3,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"Marienwerder","MAR",1,104,0,1,0,0,0,0,0,0,0,0,0,0,8,5
47,"Rosenberg","MAR",1,84,0,0,5,0,2,0,0,0,0,0,0,0,0,0
48,"Löbau","MAR",0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"Strassburg","MAR",0,76,0,0,0,0,2,0,0,0,4,0,0,0,0,0
50,"Thorn","MAR",0,66,0,2,7,1,0,2,7,0,0,0,0,0,7,3
51,"Culm","MAR",1,72,2,3,0,0,0,0,0,0,11,10,0,0,8,5
52,"Graudenz","MAR",0,79,1,0,0,0,0,8,0,1,11,3,0,0,0,0
53,"Schwetz","MAR",2,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"Konitz","MAR",0,81,0,0,0,0,0,2,0,0,0,0,0,0,9,5
