id1819,kreiskey1800,county,rb,buil1821_pub
1,277,"Achen","AAC",50
2,33,"Adelnau","POS",24
3,254,"Adenau","KOB",65
4,196,"Ahaus","MUN",84
5,255,"Ahrweiler","KOB",67
6,2,"Allenstein","KON",31
7,219,"Altena","ARN",34
8,257,"Altenkirchen","KOB",9
9,10,"Angerburg","GUM",28
10,53,"Angermünde","POT",251
11,32,"Anklam","STE",82
12,209,"Arnsberg","ARN",63
13,67,"Arnswalde","FRA",77
14,160,"Aschersleben","MAG",172
15,55,"(Nieder-)Barnim","POT",161
16,54,"(Ober-)Barnim","POT",225
17,190,"Beckum","MUN",108
18,93,"Belgard","KOS",46
19,58,"Belzig","POT",359
20,15,"Berent","DAN",50
21,98,"Bergen","STR",33
22,230,"Bergheim","KOL",91
23,265,"Bernkastel","TRI",192
24,126,"Beuthen","OPP",44
25,203,"Bielefeld","MIN",45
26,25,"Birnbaum","POS",34
27,261,"Bitburg","TRI",138
28,166,"Bitterfeld","MER",303
29,216,"Bochum","ARN",72
30,27,"Bolkenhain","LIE",91
31,45,"Bomst","POS",82
32,233,"Bonn","KOL",109
33,197,"Borken","MUN",66
34,208,"Brakel","MIN",89
35,258,"Braunfels","KOB",153
36,19,"Braunsberg","KON",89
37,111,"Breslau","BRE",350
38,113,"Brieg","BRE",171
39,211,"Brilon","ARN",82
40,20,"Bromberg","BRO",105
41,201,"Bünde","MIN",71
42,206,"Büren","MIN",154
43,24,"Buk","POS",27
44,140,"Bunzlau","LIE",99
45,23,"Chodzesen","BRO",30
46,18,"Danzig, Stadtkreis","DAN",392
47,16,"Danzig, Landkreis","DAN",177
48,8,"Darkehmen","GUM",58
49,259,"Daun","TRI",85
50,167,"Delitzsch","MER",356
51,80,"Demmin","STE",142
52,236,"Dinslaken","DUS",54
53,215,"Dortmund","ARN",127
54,91,"Dramburg","KOS",53
55,275,"Düren","AAC",48
56,240,"Düsseldorf, Stadtkreis","DUS",163
57,240,"Düsseldorf, Landkreis","DUS",
58,173,"Eckartsberga","MER",347
59,1,"(Preussisch) Eilau","KON",93
60,241,"Elberfeld","DUS",29
61,11,"Elbing","DAN",190
62,185,"Erfurt","ERF",241
63,271,"Erkelenz","AAC",33
64,236,"Essen","DUS",50
65,278,"Eupen","AAC",30
66,131,"Falkenberg","OPP",76
67,6,"Fischhausen","KON",124
68,22,"Flatow","MAR",63
69,117,"Frankenstein","BRE",141
70,71,"Frankfurt","FRA",121
71,99,"Franzburg","STR",264
72,46,"Fraustadt","POS",149
73,135,"Freistadt","LIE",74
74,68,"Friedeberg","FRA",90
75,1,"Friedland","KON",67
76,94,"Fürstenthum","KOS",198
77,150,"Gardelegen","MAG",312
78,273,"Geilenkirchen","AAC",47
79,237,"Geldern","DUS",53
80,280,"Gemünd","AAC",101
81,5,"Gerdauen","KON",85
82,224,"Gimborn","KOL",26
83,246,"Gladbach","DUS",24
84,28,"Glaz","BRE",135
85,138,"Glogau","LIE",215
86,48,"Gnesen","BRO",30
87,249,"St. Goar","KOB",169
88,146,"Görlitz","LIE",206
89,8,"Goldap","GUM",66
90,12,"Graudenz","MAR",96
91,88,"Greifenberg","STE",71
92,83,"Greifenhagen","STE",100
93,100,"Greifswald","STR",148
94,245,"Grevenbroich","DUS",59
95,101,"Grimmen","STR",54
96,133,"Grottkau","OPP",118
97,134,"Grünberg","LIE",85
98,74,"Guben","FRA",249
99,107,"Guhrau","BRE",187
100,8,"Gumbinnen","GUM",64
101,28,"Habelschwerdt","BRE",89
102,217,"Hagen","ARN",38
103,141,"Hainau","LIE",101
104,161,"Halberstadt","MAG",108
105,158,"(Neu-)Haldensleben","MAG",309
106,169,"Halle","MER",121
107,202,"Halle","MIN",40
108,214,"Hamm","ARN",115
109,60,"(Ost-)Havelland","POT",244
110,61,"(West-)Havelland","POT",311
111,8,"Heidekrug","GUM",32
112,181,"Heiligenstadt","ERF",210
113,2,"Heilsberg","KON",92
114,272,"Heinsberg","AAC",24
115,201,"Herford","MIN",46
116,29,"Hirschberg","LIE",120
117,208,"Höxter","MIN",88
118,3,"(Preussisch) Holland","KON",142
119,224,"Homburg","KOL",3
120,143,"Jauer","LIE",71
121,153,"1. Jerichow","MAG",171
122,152,"2. Jerichow","MAG",200
123,21,"Inowrazlaw","BRO",39
124,8,"Insterburg","GUM",104
125,9,"Johannsburg","GUM",397
126,218,"Iserlohn","ARN",89
127,274,"Jülich","AAC",81
128,57,"Jüterbok","POT",390
129,77,"Kalau","FRA",243
130,154,"Kalbe","MAG",249
131,87,"Kammin","STE",136
132,16,"Karthaus","DAN",49
133,238,"Kempen","DUS",46
134,234,"Kleve","DUS",59
135,248,"Koblenz","KOB",118
136,252,"Kochem","KOB",115
137,229,"Köln","KOL",67
138,65,"Königsberg","FRA",191
139,6,"Königsberg, Stadtkreis","KON",174
140,6,"Königsberg, Landkreis","KON",72
141,195,"Koesfeld","MUN",115
142,14,"Konitz","MAR",51
143,128,"Kosel","OPP",107
144,41,"Kosten","POS",21
145,78,"Kottbus","FRA",111
146,239,"Krefeld","DUS",53
147,120,"Kreutzburg","OPP",84
148,250,"Kreutznach","KOB",293
149,47,"Kröben","POS",52
150,23,"(Deutsch)Krone","MAR",105
151,75,"Krossen","FRA",187
152,33,"Krotoschin","POS",76
153,65,"Küstrin","FRA",117
154,12,"Kulm","MAR",32
155,7,"Labiau","KON",45
156,69,"Landsberg","FRA",161
157,27,"Landshut","LIE",117
158,183,"Langensalza","ERF",274
159,145,"Lauban","LIE",133
160,35,"Lauenburg","KOS",59
161,70,"Lebus","FRA",152
162,231,"Lechenich","KOL",74
163,242,"Lennep","DUS",85
164,129,"Leobschütz","OPP",165
165,162,"Liebenwerda","MER",250
166,142,"Liegnitz","LIE",146
167,9,"Lik","GUM",92
168,256,"Linz","KOB",76
169,212,"Lippstadt","ARN",119
170,13,"Löbau","MAR",27
171,10,"Lötzen","GUM",86
172,144,"Löwenberg","LIE",180
173,124,"Lublinitz","OPP",51
174,76,"Luckau","FRA",496
175,34,"Lübben","FRA",324
176,139,"Lüben","LIE",77
177,191,"Lüdingshausen","MUN",85
178,155,"Magdeburg","MAG",117
179,253,"Maien","KOB",120
180,281,"Malmedy","AAC",77
181,171,"Mansfeld, Gebirgskreis","MER",143
182,170,"Mansfeld, Seekreis","MER",173
183,11,"Marienburg","DAN",194
184,17,"Marienwerder","MAR",123
185,38,"Memel","KON",71
186,175,"Merseburg","MER",428
187,267,"Merzig","TRI",79
188,210,"Meschede","ARN",78
189,25,"Meseritz","POS",86
190,241,"Mettmann","DUS",
191,106,"Militsch","BRE",143
192,199,"Minden","MIN",260
193,21,"Mogilno","BRO",24
194,3,"Mohrungen","KON",78
195,279,"Montjoie","AAC",44
196,182,"Mühlhausen","ERF",285
197,227,"Mühlheim","KOL",30
198,192,"Münster","MUN",84
199,116,"Münsterberg","BRE",81
200,102,"Namslau","BRE",80
201,86,"Naugard","STE",212
202,177,"Naumburg","MER",210
203,4,"Neidenburg","KON",257
204,132,"Neisse","OPP",155
