kreiskey1864,county,rb,edu1864_pub_ele_sc,edu1864_pub_mim_sc,edu1864_pub_mif_sc,edu1864_pub_rea_sc,edu1864_pub_pgy_sc,edu1864_pub_gym_sc,edu1864_pub_sem_sc,edu1864_pri_ele_sc,edu1864_pri_hsm_sc,edu1864_pri_hsf_sc,edu1864_pri_voc_sc,edu1864_pri_sun_sc,edu1864_pri_kin_sc
1,"MEMEL","KON",52,2,2,"1",0,1,0,3,0,0,1,1,0
2,"FISCHHAUSEN","KON",72,1,1,"1",0,0,0,4,0,0,1,0,0
3,"KONIGSBERG STADTKREIS","KON",28,3,2,"2",0,3,1,8,0,15,3,2,13
4,"KONIGSBERG LANDKREIS","KON",90,0,0,"0",0,0,0,0,0,0,2,0,0
5,"LABIAU","KON",70,1,1,"0",0,0,0,3,0,1,0,1,0
6,"WEHLAU","KON",72,1,2,"1",0,0,0,4,0,1,0,2,1
7,"GERDAUEN","KON",65,2,0,"0",0,0,0,0,0,0,0,1,0
8,"RASTENBURG","KON",81,3,0,"0",0,1,0,1,2,0,0,2,1
9,"FRIEDLAND","KON",70,2,1,"0",0,0,0,2,0,0,0,5,0
10,"PREUSSISCH EYLAU","KON",93,0,0,"0",0,0,1,1,0,0,0,3,0
11,"HEILIGENBEIL","KON",69,2,2,"0",0,0,0,0,0,1,0,1,0
12,"BRAUNSBERG","KON",72,0,1,"0",0,1,1,0,0,2,1,5,1
13,"HEILSBERG","KON",94,1,0,"0",0,0,0,0,0,0,0,0,0
14,"ROSSEL","KON",76,0,0,"0",1,0,0,0,0,0,0,1,0
15,"ALLENSTEIN","KON",81,0,0,"0",0,0,0,3,0,0,0,1,0
16,"ORTELSBURG","KON",122,0,0,"0",0,0,1,1,0,0,0,2,0
17,"NEIDENBURG","KON",101,2,0,"0",0,0,0,1,0,0,0,2,0
18,"OSTERODE","KON",104,1,0,"0",0,1,0,0,0,2,0,2,1
19,"MOHRUNGEN","KON",89,3,0,"0",0,0,0,0,0,0,0,1,0
20,"PREUSSISCH HOLLAND","KON",91,1,0,"0",0,0,0,2,0,0,0,2,0
21,"HEYDEKRUG","GUM",50,0,0,"0",0,0,0,3,1,0,0,0,0
22,"NIEDERUNG","GUM",63,0,0,"0",0,0,0,6,0,1,0,0,0
23,"TILSIT LANDKREIS","GUM",65,0,1,"1",0,1,0,9,0,1,0,0,0
24,"RAGNIT","GUM",85,0,0,"0",0,0,0,4,0,1,1,0,0
25,"PILLKALLEN","GUM",85,0,0,"0",0,0,0,4,0,0,0,0,0
26,"STALLUPONEN","GUM",73,1,0,"0",0,0,0,0,0,0,0,0,2
27,"GUMBINNEN","GUM",86,0,1,"1",0,1,0,4,0,1,0,1,1
28,"INSTERBURG","GUM",96,1,1,"0",0,1,1,3,0,1,0,0,1
29,"DARKEHMEN","GUM",70,1,0,"0",0,0,0,0,0,0,0,0,0
30,"ANGERBURG","GUM",77,1,0,"0",0,0,1,2,0,1,0,0,1
31,"GOLDAP","GUM",94,0,0,"0",0,0,0,3,1,1,0,0,0
32,"OLETZKO","GUM",80,1,1,"0",0,0,0,4,0,1,0,0,0
33,"LYCK","GUM",88,1,1,"0",0,1,0,0,1,2,0,0,1
34,"LOTZEN","GUM",72,0,0,"0",0,0,0,0,0,0,0,0,0
35,"SENSBURG","GUM",92,1,1,"0",0,0,0,2,0,0,0,1,0
36,"JOHANNISBURG","GUM",104,1,1,"0",0,0,0,2,0,2,0,1,0
37,"ELBING LANDKREIS","DAN",75,1,2,"1",0,1,0,1,0,1,0,1,2
38,"MARIENBURG IN PREUSSEN","DAN",119,0,1,"0",0,1,1,4,2,1,1,0,2
39,"DANZIG STADTKREIS","DAN",36,2,1,"2",0,1,0,36,1,4,4,6,4
40,"DANZIG LANDKREIS","DAN",110,0,0,"1",0,0,0,2,0,0,0,0,0
41,"PREUSSISCH STARGARD","DAN",94,1,2,"0",0,0,0,5,0,1,0,0,0
42,"BERENT","DAN",66,0,1,"0",0,0,0,2,0,0,0,0,1
43,"KARTHAUS","DAN",66,0,0,"0",0,0,0,1,0,1,0,0,0
44,"NEUSTADT IN WESTPREUSSEN","DAN",82,0,0,"0",0,1,0,2,0,1,0,0,0
45,"STUHM","MAR",71,0,0,"0",0,0,0,2,0,0,0,2,1
46,"MARIENWERDER","MAR",104,1,1,"0",0,1,0,11,0,1,0,0,0
47,"ROSENBERG IN WESTPREUSSEN","MAR",82,0,0,"0",0,0,0,3,1,1,0,1,0
48,"LOBAU","MAR",68,0,0,"0",0,0,0,3,2,1,0,1,1
49,"STRASBURG","MAR",79,0,0,"0",0,0,0,4,0,0,0,0,0
50,"THORN LANDKREIS","MAR",69,1,2,"0",0,1,0,4,0,0,0,0,0
51,"KULM","MAR",72,0,0,"1",1,1,0,3,0,3,0,2,0
52,"GRAUDENZ LANDKREIS","MAR",83,1,1,"1",0,0,1,0,0,0,1,1,1
53,"SCHWETZ","MAR",108,0,0,"0",0,0,0,4,0,0,0,0,0
54,"KONITZ","MAR",88,0,1,"0",0,1,0,4,0,0,1,1,0
55,"SCHLOCHAU","MAR",85,0,0,"0",0,0,1,6,1,0,0,0,0
56,"FLATOW","MAR",106,0,0,"0",0,0,0,3,1,0,0,1,3
57,"DEUTSCH KRONE","MAR",105,1,2,"0",0,1,0,2,1,2,0,0,2
58,"WRESCHEN","POS",55,0,0,"0",0,0,0,2,0,0,0,0,0
59,"PLESCHEN","POS",79,0,0,"0",0,0,0,0,0,0,0,1,3
60,"SCHRODA","POS",79,1,0,"0",0,0,0,5,0,0,0,0,2
61,"SCHRIMM","POS",83,0,0,"0",1,0,0,0,0,1,0,0,0
62,"KOSTEN","POS",94,1,0,"0",0,0,0,1,0,2,0,0,1
63,"BUK","POS",86,1,1,"0",0,0,0,0,0,0,0,0,0
64,"POSEN STADTKREIS","POS",12,1,3,"1",0,2,2,15,2,7,1,2,3
65,"POSEN LANDKREIS","POS",61,0,0,"0",0,0,0,1,0,0,0,0,0
66,"OBORNIK","POS",80,0,0,"1",0,0,0,1,1,1,0,0,0
67,"SAMTER","POS",73,1,0,"0",0,0,0,1,1,2,0,0,0
68,"BIRNBAUM","POS",74,0,0,"0",0,0,0,0,0,2,0,0,1
69,"MESERITZ","POS",77,0,0,"1",0,0,1,1,0,1,0,0,0
70,"BOMST","POS",92,0,0,"0",0,0,0,1,1,0,0,0,3
71,"FRAUSTADT","POS",78,0,0,"1",0,1,0,2,0,2,0,1,4
72,"KROBEN","POS",82,1,2,"1",0,0,1,2,0,0,0,0,1
73,"KROTOSCHIN","POS",78,1,1,"0",0,1,0,1,0,0,1,0,0
74,"ADELNAU","POS",73,0,0,"0",0,1,0,3,0,1,0,0,1
75,"SCHILDBERG","POS",77,2,0,"0",0,0,0,5,0,1,0,0,0
76,"CZARNIKAU","BRO",105,0,2,"1",0,0,0,3,1,1,0,0,0
77,"CHODZIESEN","BRO",90,1,1,"0",1,0,0,6,0,1,0,0,0
78,"WIRSITZ","BRO",89,0,0,"0",0,0,0,1,1,1,0,0,0
79,"BROMBERG LANDKREIS","BRO",107,1,2,"1",0,1,1,9,0,2,0,2,1
80,"SCHUBIN","BRO",92,1,0,"0",0,0,0,4,0,0,0,0,0
81,"INOWRAZLAW","BRO",100,0,0,"0",0,1,0,1,1,1,0,1,0
82,"MOGILNO","BRO",66,0,0,"0",0,0,0,0,1,1,0,0,0
83,"GNESEN","BRO",80,0,0,"0",1,0,0,6,0,2,0,0,1
