kreiskey1849,county,rb,occ1849_typefoundry_inst,occ1849_typefoundry_workers,occ1849_printoffice_book_inst,occ1849_printoffice_book_press,occ1849_printoffice_book_workers,occ1849_printoffice_copper_inst,occ1849_printoffice_copper_work,occ1849_lithographic_inst,occ1849_lithographic_workers,occ1849_bookshop_propr,occ1849_bookshop_assi,occ1849_antiquarian_inst,occ1849_lendinglibrary_inst,occ1849_money_propr,occ1849_money_assi,occ1849_wholesaler_propr,occ1849_wholesaler_assi,occ1849_store_wine_propr,occ1849_store_wine_assi,occ1849_store_grain_propr,occ1849_store_grain_assi,occ1849_store_wood_propr,occ1849_store_wood_assi,occ1849_store_wool_propr,occ1849_store_wool_assi,occ1849_wholesale_brokers,occ1849_retail_brokers,occ1849_spicetrader_propr,occ1849_spicetrader_assi,occ1849_mercer_propr,occ1849_mercer_assitants,occ1849_metaltrader_propr,occ1849_metaltrader_assi,occ1849_gallantrytrader_propr,occ1849_gallantrytrader_assist,occ1849_other_trader_propretor,occ1849_other_trader_assi,occ1849_horsedealer,occ1849_chandler,occ1849_victualstrader,occ1849_travel_chandler,occ1849_mar_crew,occ1849_river_crew,occ1849_carriage_propr,occ1849_carriage_assi,occ1849_inn_educated_inns,occ1849_inn_carriage_inns,occ1849_inn_food_innkeepers,occ1849_inn_drink_innkeepers,occ1849_inn_musicians,occ1849_civil_state_senior,occ1849_civil_state_others,occ1849_civil_justice_senior,occ1849_civil_justice_others,occ1849_municipal_senior,occ1849_municipal_others,occ1849_annuitants,occ1849_manualworkers_m,occ1849_manualworkers_f,occ1849_servant_m_conv,occ1849_servant_f_conv
1,"Memel","KON",0,0,2,3,9,0,0,1,1,2,1,0,2,8,4,31,36,4,6,16,19,22,35,0,0,6,9,61,111,13,46,5,16,3,0,27,8,1,2,109,3,987,101,17,31,7,47,9,95,23,0,71,14,21,0,37,415,3046,2449,116,884
2,"Fischhausen","KON",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,2,4,0,0,0,0,42,43,6,7,0,0,0,0,15,0,0,0,42,1,27,68,2,4,9,74,4,80,12,1,87,5,13,0,65,40,1765,533,143,407
3,"Königsberg Stadt","KON",1,3,8,21,110,0,0,5,34,12,17,2,8,4,4,57,157,10,11,56,91,23,22,4,3,15,121,142,374,89,113,20,60,44,62,273,136,42,108,460,76,431,272,119,146,16,38,40,221,30,61,432,83,122,13,189,1466,4136,2771,440,4403
4,"Königsberg Land","KON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,1,0,27,0,0,6,8,6,7,73,1,74,7,0,2,0,0,1,2,8,2441,1211,141,288
5,"Labiau","KON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,36,47,2,3,0,0,0,0,6,0,3,2,56,4,0,141,7,4,6,54,0,51,4,1,16,8,17,0,4,4,2654,2408,47,73
6,"Welau","KON",0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,1,2,0,0,10,10,4,1,0,0,0,1,41,80,6,11,0,0,3,5,1,1,0,8,31,7,0,157,0,0,5,41,4,89,4,1,71,15,21,15,87,50,2723,2934,96,251
7,"Gerdauen","KON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,22,9,6,0,0,0,0,0,0,2,18,17,5,0,0,0,0,6,48,0,33,5,1,9,3,8,0,14,37,2423,2302,71,166
8,"Rastenburg","KON",0,0,1,1,2,0,0,0,0,2,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,24,43,9,7,0,0,3,6,4,2,0,1,4,0,0,0,0,0,7,30,1,59,2,1,10,5,9,19,102,57,2326,2621,96,417
9,"Friedland","KON",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,42,62,10,9,1,0,2,0,2,0,1,10,38,2,0,0,0,0,9,39,4,83,6,1,15,12,15,0,28,74,2123,2225,122,297
10,"Preuss. Eilau","KON",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,41,6,3,1,1,1,1,0,0,0,8,60,16,0,0,0,0,9,64,4,67,8,0,12,3,5,0,8,14,2470,2233,119,293
11,"Heiligenbeil","KON",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21,4,4,0,0,1,2,1,1,2,26,59,5,0,48,4,6,7,56,2,68,5,1,18,4,8,0,13,28,2150,2212,113,251
12,"Braunsberg","KON",0,0,1,2,3,0,0,1,1,2,2,0,2,0,0,4,6,2,1,0,0,11,0,0,0,0,0,46,71,24,15,3,4,2,3,13,7,1,3,30,28,36,68,0,0,10,53,9,85,4,3,35,10,19,1,31,119,3100,2815,41,121
13,"Heilsberg","KON",0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,30,15,12,1,0,1,1,9,6,1,3,60,6,0,0,1,0,5,71,0,59,0,3,25,12,15,0,7,22,3151,3577,48,253
14,"Rössel","KON",0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,30,59,16,19,0,0,1,0,4,0,2,3,23,18,0,0,0,0,11,40,1,79,0,0,116,15,23,0,21,41,2461,2725,43,133
15,"Allenstein","KON",0,0,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,18,6,4,0,0,1,0,5,4,5,2,49,29,0,0,0,0,1,51,1,55,9,1,62,9,21,1,34,26,2413,2923,20,213
16,"Ortelsburg","KON",0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,25,34,7,3,0,0,0,0,0,0,0,7,21,7,0,0,0,0,11,60,1,85,0,5,38,10,16,0,14,131,2673,2854,28,179
17,"Neidenburg","KON",0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,30,16,7,10,4,2,1,0,3,0,3,5,16,5,0,0,0,0,4,62,8,74,0,2,50,8,12,0,8,58,1677,1681,30,287
18,"Osterode","KON",0,0,2,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,21,10,6,0,0,0,0,2,3,5,2,17,4,0,0,0,0,10,59,1,62,17,0,32,9,17,0,14,76,3354,3398,79,247
19,"Morungen","KON",0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,16,13,14,1,1,2,2,1,0,15,5,44,5,0,0,1,1,7,71,0,76,4,1,24,12,20,0,12,147,3251,3290,139,420
20,"Pr. Holland","KON",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,22,9,10,0,0,0,0,0,0,11,8,18,12,0,30,2,0,7,80,3,38,7,1,12,5,9,0,8,54,3048,3133,133,292
21,"Heidekrug","GUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,2,0,6,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,173,1,0,253,0,0,9,58,1,33,0,1,75,7,22,0,0,8,2707,3305,39,230
